City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,juneau,58.3019,-134.4197,5.23,100,89,0.95,US,1679698941
137,lahij,13.1667,44.5833,24.67,79,45,2.94,YE,1679699073
138,las cruces,32.3123,-106.7783,17.06,25,40,14.4,US,1679698884
139,tallahassee,30.4383,-84.2807,26.11,67,20,5.14,US,1679698956
140,sur,22.5667,59.5289,22.79,63,0,2.82,OM,1679699074
141,port hardy,50.6996,-127.4199,6.1,81,75,2.06,CA,1679699075
142,berlevag,70.8578,29.0864,-7.11,86,75,4.63,NO,1679699076
143,purpe,64.4803,76.6897,-2.7,99,100,1.84,RU,1679699077
144,pedernales,18.0384,-71.744,26.48,65,2,0.5,DO,1679699077
145,storslett,69.7678,21.0247,-7.0,93,100,0.0,NO,1679699081
146,rocha,-34.4833,-54.3333,19.51,97,99,3.0,UY,1679698520
147,kismayo,-0.3582,42.5454,27.4,81,86,4.59,SO,1679699082
148,qena,26.1615,32.7183,22.1,39,0,5.5,EG,1679699082
149,bethlehem,-1.4558,-48.5044,27.02,83,75,1.03,BR,1679698942
150,khasan,42.4308,130.6434,1.78,40,0,4.09,RU,1679699083
151,beloha,-25.1667,45.05,21.64,81,12,4.98,MG,1679699083
152,katsuura,35.1333,140.3,12.01,90,100,10.84,JP,1679699083
153,acapulco,16.8634,-99.8901,28.9,70,20,4.63,MX,1679699051
154,fort-shevchenko,44.5086,50.263,11.01,63,59,4.34,KZ,1679699084
155,mahebourg,-20.4081,57.7,24.58,88,20,1.54,MU,1679699043
156,talcahuano,-36.7167,-73.1167,20.82,56,0,7.2,CL,1679698951
157,barcelos,41.5388,-8.6151,12.69,92,11,1.49,PT,1679699085
158,puerto del rosario,28.5004,-13.8627,18.86,82,20,6.17,ES,1679699085
159,cabo san lucas,22.8909,-109.9124,28.12,51,46,4.44,MX,1679698788
160,los llanos de aridane,28.6585,-17.9182,16.86,77,0,5.14,ES,1679699085
161,marawi,7.9986,124.2928,21.64,90,95,0.41,PH,1679699086
162,saldanha,-33.0117,17.9442,18.03,91,28,7.61,ZA,1679699086
163,tevriz,57.509,72.4042,1.72,95,100,4.63,RU,1679699087
164,ishinomaki,38.4167,141.3,7.0,74,100,5.62,JP,1679699087
165,chuy,-33.6971,-53.4616,21.46,87,88,3.4,UY,1679699088
166,hobart,-42.8794,147.3294,15.03,65,75,3.6,AU,1679698846
167,cape canaveral,28.4058,-80.6048,26.22,81,0,6.69,US,1679699088
168,lensk,60.7253,114.9278,-9.44,93,83,3.47,RU,1679699088
169,silopi,37.2497,42.4694,12.65,61,100,2.37,TR,1679699089
170,codrington,-38.2667,141.9667,16.07,63,70,5.18,AU,1679699089
171,zarichne,51.8126,26.129,12.46,74,100,5.5,UA,1679699090
172,norman wells,65.282,-126.8329,-5.98,58,75,4.63,CA,1679699090
173,lander,42.833,-108.7307,4.21,51,0,2.57,US,1679698934
174,la reforma,25.0833,-108.05,27.25,28,3,8.95,MX,1679699091
175,kekri,25.9667,75.15,20.22,41,20,2.75,IN,1679699091
176,grants,35.1473,-107.8514,6.13,36,75,6.69,US,1679699092
177,erattupetta,9.7,76.7833,22.39,89,100,1.05,IN,1679699092
178,sao joao da ponte,-15.9292,-44.0078,22.25,33,0,2.24,BR,1679699092
179,fort collins,40.5853,-105.0844,10.1,32,100,5.14,US,1679698489
180,vung tau,10.346,107.0843,25.21,84,33,4.24,VN,1679699093
